Initializing Moontide Kernel (Lua-Config Mode)...

[Kernel] Hot-swapping GRAPH TOPOLOGY (Lua)...
[Orchestrator] Registered Wire: ai.layers (28 bytes, Buffered: false)
[Orchestrator] Registered Wire: ai.brain (68 bytes, Buffered: false)
[Orchestrator] Registered Wire: ai.stats (16 bytes, Buffered: false)
[ExtensionManager] Loaded Runtime: luajit (from ./ext/)
[Orchestrator] Task Graph: 1 parallel levels.
[Node ai.trainer] Hot-reloading script: examples/mlp/trainer.lua
[INFO ] [ai.trainer] MLP Brain Initialized
[Monitor AI] Epoch:     +1 | Input: (1, 1) | Target: 0 | Pred: 0.27 | Loss: 0.07477 | Init: 1.0
[Monitor AI] Epoch:     +2 | Input: (1, 0) | Target: 1 | Pred: 0.26 | Loss: 0.55076 | Init: 1.0
[Monitor AI] Epoch:     +3 | Input: (0, 0) | Target: 0 | Pred: 0.32 | Loss: 0.10526 | Init: 1.0
[Monitor AI] Epoch:     +4 | Input: (1, 1) | Target: 0 | Pred: 0.28 | Loss: 0.07814 | Init: 1.0
[Monitor AI] Epoch:     +5 | Input: (0, 1) | Target: 1 | Pred: 0.29 | Loss: 0.49931 | Init: 1.0
[Monitor AI] Epoch:     +6 | Input: (0, 1) | Target: 1 | Pred: 0.33 | Loss: 0.45301 | Init: 1.0
[Monitor AI] Epoch:     +7 | Input: (0, 1) | Target: 1 | Pred: 0.36 | Loss: 0.40659 | Init: 1.0
[Monitor AI] Epoch:     +8 | Input: (1, 0) | Target: 1 | Pred: 0.37 | Loss: 0.39727 | Init: 1.0
[Monitor AI] Epoch:     +9 | Input: (1, 0) | Target: 1 | Pred: 0.41 | Loss: 0.34287 | Init: 1.0
[Monitor AI] Epoch:    +10 | Input: (1, 1) | Target: 0 | Pred: 0.46 | Loss: 0.21224 | Init: 1.0
[Monitor AI] Epoch:    +11 | Input: (0, 1) | Target: 1 | Pred: 0.44 | Loss: 0.30861 | Init: 1.0
[Monitor AI] Epoch:    +12 | Input: (0, 0) | Target: 0 | Pred: 0.48 | Loss: 0.22900 | Init: 1.0
[Monitor AI] Epoch:    +13 | Input: (1, 0) | Target: 1 | Pred: 0.43 | Loss: 0.32715 | Init: 1.0
[Monitor AI] Epoch:    +14 | Input: (0, 0) | Target: 0 | Pred: 0.49 | Loss: 0.23740 | Init: 1.0
[Monitor AI] Epoch:    +15 | Input: (1, 0) | Target: 1 | Pred: 0.44 | Loss: 0.31558 | Init: 1.0
[Monitor AI] Epoch:    +16 | Input: (0, 0) | Target: 0 | Pred: 0.49 | Loss: 0.24487 | Init: 1.0
[Monitor AI] Epoch:    +17 | Input: (1, 1) | Target: 0 | Pred: 0.45 | Loss: 0.20226 | Init: 1.0
[Monitor AI] Epoch:    +18 | Input: (1, 0) | Target: 1 | Pred: 0.41 | Loss: 0.34360 | Init: 1.0
[Monitor AI] Epoch:    +19 | Input: (0, 0) | Target: 0 | Pred: 0.47 | Loss: 0.22366 | Init: 1.0
[Monitor AI] Epoch:    +20 | Input: (1, 1) | Target: 0 | Pred: 0.43 | Loss: 0.18236 | Init: 1.0
[Monitor AI] Epoch:    +21 | Input: (0, 0) | Target: 0 | Pred: 0.42 | Loss: 0.17237 | Init: 1.0
[Monitor AI] Epoch:    +22 | Input: (1, 1) | Target: 0 | Pred: 0.37 | Loss: 0.13636 | Init: 1.0
[Monitor AI] Epoch:    +23 | Input: (1, 0) | Target: 1 | Pred: 0.34 | Loss: 0.43140 | Init: 1.0
[Monitor AI] Epoch:    +24 | Input: (1, 1) | Target: 0 | Pred: 0.39 | Loss: 0.14971 | Init: 1.0
[Monitor AI] Epoch:    +25 | Input: (0, 0) | Target: 0 | Pred: 0.38 | Loss: 0.14716 | Init: 1.0
[Monitor AI] Epoch:    +26 | Input: (0, 1) | Target: 1 | Pred: 0.36 | Loss: 0.41011 | Init: 1.0
[Monitor AI] Epoch:    +27 | Input: (1, 1) | Target: 0 | Pred: 0.38 | Loss: 0.14099 | Init: 1.0
[Monitor AI] Epoch:    +28 | Input: (0, 1) | Target: 1 | Pred: 0.37 | Loss: 0.39385 | Init: 1.0
[Monitor AI] Epoch:    +29 | Input: (0, 0) | Target: 0 | Pred: 0.41 | Loss: 0.16730 | Init: 1.0
[Monitor AI] Epoch:    +30 | Input: (0, 1) | Target: 1 | Pred: 0.39 | Loss: 0.37794 | Init: 1.0
[Monitor AI] Epoch:    +31 | Input: (1, 1) | Target: 0 | Pred: 0.40 | Loss: 0.16139 | Init: 1.0
[Monitor AI] Epoch:    +32 | Input: (0, 0) | Target: 0 | Pred: 0.39 | Loss: 0.15548 | Init: 1.0
[Monitor AI] Epoch:    +33 | Input: (1, 0) | Target: 1 | Pred: 0.35 | Loss: 0.42843 | Init: 1.0
[Monitor AI] Epoch:    +34 | Input: (1, 0) | Target: 1 | Pred: 0.39 | Loss: 0.37252 | Init: 1.0
[Monitor AI] Epoch:    +35 | Input: (1, 0) | Target: 1 | Pred: 0.43 | Loss: 0.31983 | Init: 1.0
[Monitor AI] Epoch:    +36 | Input: (0, 0) | Target: 0 | Pred: 0.49 | Loss: 0.23999 | Init: 1.0
[Monitor AI] Epoch:    +37 | Input: (0, 0) | Target: 0 | Pred: 0.46 | Loss: 0.21045 | Init: 1.0
[Monitor AI] Epoch:    +38 | Input: (0, 0) | Target: 0 | Pred: 0.43 | Loss: 0.18487 | Init: 1.0
[Monitor AI] Epoch:    +39 | Input: (0, 1) | Target: 1 | Pred: 0.40 | Loss: 0.35483 | Init: 1.0
[Monitor AI] Epoch:    +40 | Input: (1, 0) | Target: 1 | Pred: 0.42 | Loss: 0.33380 | Init: 1.0
[Monitor AI] Epoch:    +41 | Input: (1, 0) | Target: 1 | Pred: 0.47 | Loss: 0.28481 | Init: 1.0
[Monitor AI] Epoch:    +42 | Input: (1, 1) | Target: 0 | Pred: 0.51 | Loss: 0.25865 | Init: 1.0
[Monitor AI] Epoch:    +43 | Input: (0, 0) | Target: 0 | Pred: 0.48 | Loss: 0.23087 | Init: 1.0
[Monitor AI] Epoch:    +44 | Input: (0, 1) | Target: 1 | Pred: 0.45 | Loss: 0.30269 | Init: 1.0
[Monitor AI] Epoch:    +45 | Input: (1, 1) | Target: 0 | Pred: 0.47 | Loss: 0.22531 | Init: 1.0
[Monitor AI] Epoch:    +46 | Input: (1, 1) | Target: 0 | Pred: 0.44 | Loss: 0.19198 | Init: 1.0
[Monitor AI] Epoch:    +47 | Input: (1, 0) | Target: 1 | Pred: 0.40 | Loss: 0.35461 | Init: 1.0
[Monitor AI] Epoch:    +48 | Input: (1, 0) | Target: 1 | Pred: 0.45 | Loss: 0.30346 | Init: 1.0
[Monitor AI] Epoch:    +49 | Input: (1, 1) | Target: 0 | Pred: 0.49 | Loss: 0.24015 | Init: 1.0
[Monitor AI] Epoch:    +50 | Input: (0, 0) | Target: 0 | Pred: 0.47 | Loss: 0.21838 | Init: 1.0
[Monitor AI] Epoch:    +51 | Input: (0, 0) | Target: 0 | Pred: 0.44 | Loss: 0.19167 | Init: 1.0
[Monitor AI] Epoch:    +52 | Input: (1, 1) | Target: 0 | Pred: 0.39 | Loss: 0.15398 | Init: 1.0
[Monitor AI] Epoch:    +53 | Input: (0, 1) | Target: 1 | Pred: 0.38 | Loss: 0.38048 | Init: 1.0
[Monitor AI] Epoch:    +54 | Input: (1, 1) | Target: 0 | Pred: 0.40 | Loss: 0.16291 | Init: 1.0
[Monitor AI] Epoch:    +55 | Input: (1, 1) | Target: 0 | Pred: 0.37 | Loss: 0.14021 | Init: 1.0
[Monitor AI] Epoch:    +56 | Input: (0, 1) | Target: 1 | Pred: 0.37 | Loss: 0.39713 | Init: 1.0
[Monitor AI] Epoch:    +57 | Input: (0, 1) | Target: 1 | Pred: 0.41 | Loss: 0.35222 | Init: 1.0
[Monitor AI] Epoch:    +58 | Input: (0, 1) | Target: 1 | Pred: 0.44 | Loss: 0.31023 | Init: 1.0
[Monitor AI] Epoch:    +59 | Input: (1, 1) | Target: 0 | Pred: 0.46 | Loss: 0.21582 | Init: 1.0
[Monitor AI] Epoch:    +60 | Input: (1, 1) | Target: 0 | Pred: 0.43 | Loss: 0.18388 | Init: 1.0
[Monitor AI] Epoch:    +61 | Input: (1, 0) | Target: 1 | Pred: 0.40 | Loss: 0.36493 | Init: 1.0
[Monitor AI] Epoch:    +62 | Input: (1, 1) | Target: 0 | Pred: 0.44 | Loss: 0.19390 | Init: 1.0
[Monitor AI] Epoch:    +63 | Input: (0, 0) | Target: 0 | Pred: 0.43 | Loss: 0.18369 | Init: 1.0
[Monitor AI] Epoch:    +64 | Input: (0, 1) | Target: 1 | Pred: 0.40 | Loss: 0.35956 | Init: 1.0
[Monitor AI] Epoch:    +65 | Input: (1, 0) | Target: 1 | Pred: 0.42 | Loss: 0.33904 | Init: 1.0
[Monitor AI] Epoch:    +66 | Input: (1, 1) | Target: 0 | Pred: 0.46 | Loss: 0.21312 | Init: 1.0
[Monitor AI] Epoch:    +67 | Input: (1, 0) | Target: 1 | Pred: 0.43 | Loss: 0.32809 | Init: 1.0
[Monitor AI] Epoch:    +68 | Input: (0, 0) | Target: 0 | Pred: 0.49 | Loss: 0.23541 | Init: 1.0
[Monitor AI] Epoch:    +69 | Input: (0, 0) | Target: 0 | Pred: 0.45 | Loss: 0.20639 | Init: 1.0
[Monitor AI] Epoch:    +70 | Input: (0, 0) | Target: 0 | Pred: 0.43 | Loss: 0.18131 | Init: 1.0
[Monitor AI] Epoch:    +71 | Input: (0, 0) | Target: 0 | Pred: 0.40 | Loss: 0.15984 | Init: 1.0
[Monitor AI] Epoch:    +72 | Input: (0, 0) | Target: 0 | Pred: 0.38 | Loss: 0.14156 | Init: 1.0
[Monitor AI] Epoch:    +73 | Input: (0, 1) | Target: 1 | Pred: 0.35 | Loss: 0.41672 | Init: 1.0
[Monitor AI] Epoch:    +74 | Input: (1, 0) | Target: 1 | Pred: 0.37 | Loss: 0.39939 | Init: 1.0
[Monitor AI] Epoch:    +75 | Input: (0, 1) | Target: 1 | Pred: 0.43 | Loss: 0.32478 | Init: 1.0
[Monitor AI] Epoch:    +76 | Input: (1, 1) | Target: 0 | Pred: 0.45 | Loss: 0.20482 | Init: 1.0
[Monitor AI] Epoch:    +77 | Input: (0, 1) | Target: 1 | Pred: 0.43 | Loss: 0.31943 | Init: 1.0
[Monitor AI] Epoch:    +78 | Input: (0, 0) | Target: 0 | Pred: 0.47 | Loss: 0.21993 | Init: 1.0
[Monitor AI] Epoch:    +79 | Input: (0, 0) | Target: 0 | Pred: 0.44 | Loss: 0.19295 | Init: 1.0
[Monitor AI] Epoch:    +80 | Input: (1, 1) | Target: 0 | Pred: 0.40 | Loss: 0.15693 | Init: 1.0
[Monitor AI] Epoch:    +81 | Input: (0, 0) | Target: 0 | Pred: 0.39 | Loss: 0.14975 | Init: 1.0
[Monitor AI] Epoch:    +82 | Input: (1, 1) | Target: 0 | Pred: 0.34 | Loss: 0.11867 | Init: 1.0
[Monitor AI] Epoch:    +83 | Input: (1, 0) | Target: 1 | Pred: 0.32 | Loss: 0.46411 | Init: 1.0
[Monitor AI] Epoch:    +84 | Input: (0, 0) | Target: 0 | Pred: 0.38 | Loss: 0.14741 | Init: 1.0
[Monitor AI] Epoch:    +85 | Input: (1, 1) | Target: 0 | Pred: 0.34 | Loss: 0.11646 | Init: 1.0
[Monitor AI] Epoch:    +86 | Input: (1, 1) | Target: 0 | Pred: 0.32 | Loss: 0.10205 | Init: 1.0
[Monitor AI] Epoch:    +87 | Input: (0, 1) | Target: 1 | Pred: 0.33 | Loss: 0.45515 | Init: 1.0
[Monitor AI] Epoch:    +88 | Input: (1, 1) | Target: 0 | Pred: 0.34 | Loss: 0.11375 | Init: 1.0
[Monitor AI] Epoch:    +89 | Input: (0, 0) | Target: 0 | Pred: 0.34 | Loss: 0.11571 | Init: 1.0
[Monitor AI] Epoch:    +90 | Input: (1, 0) | Target: 1 | Pred: 0.29 | Loss: 0.49761 | Init: 1.0
[Monitor AI] Epoch:    +91 | Input: (1, 0) | Target: 1 | Pred: 0.34 | Loss: 0.44103 | Init: 1.0
[Monitor AI] Epoch:    +92 | Input: (1, 1) | Target: 0 | Pred: 0.38 | Loss: 0.14501 | Init: 1.0
[Monitor AI] Epoch:    +93 | Input: (0, 0) | Target: 0 | Pred: 0.38 | Loss: 0.14163 | Init: 1.0
[Monitor AI] Epoch:    +94 | Input: (1, 0) | Target: 1 | Pred: 0.33 | Loss: 0.44742 | Init: 1.0
[Monitor AI] Epoch:    +95 | Input: (1, 0) | Target: 1 | Pred: 0.37 | Loss: 0.39076 | Init: 1.0
[Monitor AI] Epoch:    +96 | Input: (1, 0) | Target: 1 | Pred: 0.42 | Loss: 0.33651 | Init: 1.0
[Monitor AI] Epoch:    +97 | Input: (0, 0) | Target: 0 | Pred: 0.47 | Loss: 0.22493 | Init: 1.0
[Monitor AI] Epoch:    +98 | Input: (1, 0) | Target: 1 | Pred: 0.43 | Loss: 0.32330 | Init: 1.0
[Monitor AI] Epoch:    +99 | Input: (0, 0) | Target: 0 | Pred: 0.48 | Loss: 0.23338 | Init: 1.0
[Monitor AI] Epoch:   +100 | Input: (0, 0) | Target: 0 | Pred: 0.45 | Loss: 0.20451 | Init: 1.0
[Monitor AI] Epoch:   +101 | Input: (1, 1) | Target: 0 | Pred: 0.41 | Loss: 0.16731 | Init: 1.0
[Monitor AI] Epoch:   +102 | Input: (1, 0) | Target: 1 | Pred: 0.38 | Loss: 0.38271 | Init: 1.0
[Monitor AI] Epoch:   +103 | Input: (1, 1) | Target: 0 | Pred: 0.42 | Loss: 0.17869 | Init: 1.0
[Monitor AI] Epoch:   +104 | Input: (1, 0) | Target: 1 | Pred: 0.40 | Loss: 0.36566 | Init: 1.0
[Monitor AI] Epoch:   +105 | Input: (1, 1) | Target: 0 | Pred: 0.43 | Loss: 0.18900 | Init: 1.0
[Monitor AI] Epoch:   +106 | Input: (1, 1) | Target: 0 | Pred: 0.40 | Loss: 0.16151 | Init: 1.0
[Monitor AI] Epoch:   +107 | Input: (0, 1) | Target: 1 | Pred: 0.39 | Loss: 0.37542 | Init: 1.0
[Monitor AI] Epoch:   +108 | Input: (0, 1) | Target: 1 | Pred: 0.42 | Loss: 0.33134 | Init: 1.0
[Monitor AI] Epoch:   +109 | Input: (1, 1) | Target: 0 | Pred: 0.45 | Loss: 0.20375 | Init: 1.0
[Monitor AI] Epoch:   +110 | Input: (1, 1) | Target: 0 | Pred: 0.42 | Loss: 0.17366 | Init: 1.0
[Monitor AI] Epoch:   +111 | Input: (1, 1) | Target: 0 | Pred: 0.39 | Loss: 0.14882 | Init: 1.0
[Monitor AI] Epoch:   +112 | Input: (1, 1) | Target: 0 | Pred: 0.36 | Loss: 0.12847 | Init: 1.0
[Monitor AI] Epoch:   +113 | Input: (1, 0) | Target: 1 | Pred: 0.34 | Loss: 0.43508 | Init: 1.0
[Monitor AI] Epoch:   +114 | Input: (1, 0) | Target: 1 | Pred: 0.38 | Loss: 0.37858 | Init: 1.0
[Monitor AI] Epoch:   +115 | Input: (1, 0) | Target: 1 | Pred: 0.43 | Loss: 0.32505 | Init: 1.0
[Monitor AI] Epoch:   +116 | Input: (1, 1) | Target: 0 | Pred: 0.46 | Loss: 0.21501 | Init: 1.0
[Monitor AI] Epoch:   +117 | Input: (0, 1) | Target: 1 | Pred: 0.44 | Loss: 0.31574 | Init: 1.0
[Monitor AI] Epoch:   +118 | Input: (0, 0) | Target: 0 | Pred: 0.49 | Loss: 0.23525 | Init: 1.0
[Monitor AI] Epoch:   +119 | Input: (0, 1) | Target: 1 | Pred: 0.44 | Loss: 0.30933 | Init: 1.0
[Monitor AI] Epoch:   +120 | Input: (0, 0) | Target: 0 | Pred: 0.49 | Loss: 0.23868 | Init: 1.0
[Monitor AI] Epoch:   +121 | Input: (0, 0) | Target: 0 | Pred: 0.46 | Loss: 0.20907 | Init: 1.0
[Monitor AI] Epoch:   +122 | Input: (1, 0) | Target: 1 | Pred: 0.41 | Loss: 0.34278 | Init: 1.0
[Monitor AI] Epoch:   +123 | Input: (1, 0) | Target: 1 | Pred: 0.46 | Loss: 0.29245 | Init: 1.0
[Monitor AI] Epoch:   +124 | Input: (1, 1) | Target: 0 | Pred: 0.49 | Loss: 0.24297 | Init: 1.0
[Monitor AI] Epoch:   +125 | Input: (1, 1) | Target: 0 | Pred: 0.45 | Loss: 0.20631 | Init: 1.0
[Monitor AI] Epoch:   +126 | Input: (0, 1) | Target: 1 | Pred: 0.43 | Loss: 0.32504 | Init: 1.0
[Monitor AI] Epoch:   +127 | Input: (0, 0) | Target: 0 | Pred: 0.48 | Loss: 0.22684 | Init: 1.0
[Monitor AI] Epoch:   +128 | Input: (0, 1) | Target: 1 | Pred: 0.44 | Loss: 0.31748 | Init: 1.0
[Monitor AI] Epoch:   +129 | Input: (0, 1) | Target: 1 | Pred: 0.47 | Loss: 0.27801 | Init: 1.0
[Monitor AI] Epoch:   +130 | Input: (1, 0) | Target: 1 | Pred: 0.51 | Loss: 0.24174 | Init: 1.0
[Monitor AI] Epoch:   +131 | Input: (1, 0) | Target: 1 | Pred: 0.55 | Loss: 0.20506 | Init: 1.0
[Monitor AI] Epoch:   +132 | Input: (1, 1) | Target: 0 | Pred: 0.57 | Loss: 0.32938 | Init: 1.0
[Monitor AI] Epoch:   +133 | Input: (1, 0) | Target: 1 | Pred: 0.54 | Loss: 0.21208 | Init: 1.0
[Monitor AI] Epoch:   +134 | Input: (0, 0) | Target: 0 | Pred: 0.57 | Loss: 0.32833 | Init: 1.0
[Monitor AI] Epoch:   +135 | Input: (0, 1) | Target: 1 | Pred: 0.53 | Loss: 0.22249 | Init: 1.0
[Monitor AI] Epoch:   +136 | Input: (0, 1) | Target: 1 | Pred: 0.56 | Loss: 0.19475 | Init: 1.0
[Monitor AI] Epoch:   +137 | Input: (0, 0) | Target: 0 | Pred: 0.59 | Loss: 0.35208 | Init: 1.0
[Monitor AI] Epoch:   +138 | Input: (0, 0) | Target: 0 | Pred: 0.56 | Loss: 0.31089 | Init: 1.0
[Monitor AI] Epoch:   +139 | Input: (1, 1) | Target: 0 | Pred: 0.51 | Loss: 0.26433 | Init: 1.0
[Monitor AI] Epoch:   +140 | Input: (1, 1) | Target: 0 | Pred: 0.47 | Loss: 0.22444 | Init: 1.0
[Monitor AI] Epoch:   +141 | Input: (1, 1) | Target: 0 | Pred: 0.44 | Loss: 0.19067 | Init: 1.0
[Monitor AI] Epoch:   +142 | Input: (0, 0) | Target: 0 | Pred: 0.43 | Loss: 0.18099 | Init: 1.0
[Monitor AI] Epoch:   +143 | Input: (0, 1) | Target: 1 | Pred: 0.39 | Loss: 0.37053 | Init: 1.0
[Monitor AI] Epoch:   +144 | Input: (0, 1) | Target: 1 | Pred: 0.43 | Loss: 0.32656 | Init: 1.0
[Monitor AI] Epoch:   +145 | Input: (0, 1) | Target: 1 | Pred: 0.47 | Loss: 0.28620 | Init: 1.0
[Monitor AI] Epoch:   +146 | Input: (1, 1) | Target: 0 | Pred: 0.49 | Loss: 0.24248 | Init: 1.0
[Monitor AI] Epoch:   +147 | Input: (1, 0) | Target: 1 | Pred: 0.46 | Loss: 0.29388 | Init: 1.0
[Monitor AI] Epoch:   +148 | Input: (0, 1) | Target: 1 | Pred: 0.50 | Loss: 0.24785 | Init: 1.0
[Monitor AI] Epoch:   +149 | Input: (1, 1) | Target: 0 | Pred: 0.53 | Loss: 0.28147 | Init: 1.0
[Monitor AI] Epoch:   +150 | Input: (1, 1) | Target: 0 | Pred: 0.49 | Loss: 0.23907 | Init: 1.0
[Monitor AI] Epoch:   +151 | Input: (0, 1) | Target: 1 | Pred: 0.46 | Loss: 0.28880 | Init: 1.0
[Monitor AI] Epoch:   +152 | Input: (1, 1) | Target: 0 | Pred: 0.49 | Loss: 0.23836 | Init: 1.0
[Monitor AI] Epoch:   +153 | Input: (1, 1) | Target: 0 | Pred: 0.45 | Loss: 0.20219 | Init: 1.0
